"effective_date","publishing_date","version","category","is_latest_release","modification_date","url","filename","filetype","content_length","content_type","last_modified","actual_length","hash"
"30.06.2020","26.05.2020","5","EN 16931 code list - XLSX","false","2021-12-13 17:40:11.361","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20values%20used%20from%202020-06-30.xlsx?version=1&modificationDate=1639417211361&api=v2","EN16931%20code%20lists%20values%20used%20from%202020-06-30.xlsx","XLSX","177389","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","177389","eb4430d2b34c074f507b4ed9265430145d8bfc79d50e665abc2543c09611cc9f"
"30.06.2020","26.05.2020","1.3.2","validation-artefacts-CII","false","2021-12-13 17:40:11.330","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.3.2.zip?version=1&modificationDate=1639417211330&api=v2","en16931-cii-1.3.2.zip","ZIP","142553","application/zip;charset=UTF-8","1970-01-19 23:23:37","142553","e8e45ec620c0ab248f5a2b53229e8df07ac73e9b2f13e2d85a6de9cc39f41776"
"30.06.2020","26.05.2020","1.3.2","validation-artefacts-UBL","false","2021-12-13 17:40:11.345","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.3.2.zip?version=1&modificationDate=1639417211345&api=v2","en16931-ubl-1.3.2.zip","ZIP","158598","application/zip;charset=UTF-8","1970-01-19 23:23:37","158598","4100ada71d2990a5503b985d840562cf18648e33706158d06671722c44e677e8"
"15.11.2020","02.10.2020","1.3.3","validation-artefacts-CII","false","2021-12-13 17:40:11.256","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.3.3.zip?version=1&modificationDate=1639417211256&api=v2","en16931-cii-1.3.3.zip","ZIP","130968","application/zip;charset=UTF-8","1970-01-19 23:23:37","130968","547717c092da83faace4c4ed9df2c8db043832069176e8acd2913b4895720ada"
"15.11.2020","02.10.2020","1.3.3","validation-artefacts-UBL","false","2021-12-13 17:40:11.240","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.3.3.zip?version=1&modificationDate=1639417211240&api=v2","en16931-ubl-1.3.3.zip","ZIP","159285","application/zip;charset=UTF-8","1970-01-19 23:23:37","159285","a5de9bc27d8d1de4f11829d56f4d301c15e7d22afaf85ff9c9003f71a8f79f26"
"16.11.2020","04.09.2020","7","EAS code list","false","2021-12-13 17:40:11.318","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%207%20-%20published.xlsx?version=1&modificationDate=1639417211318&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%207%20-%20published.xlsx","XLSX","16549","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","16549","15a6be474e9b9a215ba8868c56e9cf874c863bc30a156eed69209f40bd8e3767"
"16.11.2020","15.09.2020","6","EN 16931 code list - XLSX","false","2021-12-13 17:40:11.272","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20values%20-%20updated%20-%20used%20from%202020-11-15.xlsx?version=1&modificationDate=1639417211272&api=v2","EN16931%20code%20lists%20values%20-%20updated%20-%20used%20from%202020-11-15.xlsx","XLSX","177585","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","177585","97de49237cfc92c1f0d9e325c2d9fd7ff2f9a95907445771a41cdb1b0ebcccc6"
"16.11.2020","04.09.2020","6","EN 16931 code list - XLSX","false","2021-12-13 17:40:11.300","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20values%20used%20from%202020-11-15.xlsx?version=1&modificationDate=1639417211300&api=v2","EN16931%20code%20lists%20values%20used%20from%202020-11-15.xlsx","XLSX","177282","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","177282","dbda897ca1526323e28963ac25a2aef9d3320c4b364e5cf6ede606ac53b4e0e7"
"16.11.2020","15.09.2020","4","VATEX code list","false","2021-12-13 17:40:11.288","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/VAT%20Exemption%20Reason%20Code%20list%20VATEX%20-%20version%204%20-published.xlsx?version=1&modificationDate=1639417211288&api=v2","VAT%20Exemption%20Reason%20Code%20list%20VATEX%20-%20version%204%20-published.xlsx","XLSX","21031","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","21031","e6a07b515fdbcf06e0e38cd4c55133eeb402b049a2d16317372185c4c466587f"
"01.02.2021","01.02.2021","1.3.4","validation-artefacts-CII","false","2021-12-13 17:40:11.147","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.3.4.zip?version=1&modificationDate=1639417211147&api=v2","en16931-cii-1.3.4.zip","ZIP","135557","application/zip;charset=UTF-8","1970-01-19 23:23:37","135557","de1c3085ea70907196238a4789be4c895812d6330abee4fbd1c156af2c8438c5"
"01.02.2021","01.02.2021","1.3.4","validation-artefacts-UBL","false","2021-12-13 17:40:11.162","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.3.4.zip?version=1&modificationDate=1639417211162&api=v2","en16931-ubl-1.3.4.zip","ZIP","2670130","application/zip;charset=UTF-8","1970-01-19 23:23:37","2670130","9898161626e0490de38850c485a46708f4f979458fcb913f508cae0f9a207aca"
"17.05.2021","05.03.2021","8","EAS code list","false","2021-12-13 17:40:11.047","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%208%20-%20published%20March2021.xlsx?version=1&modificationDate=1639417211047&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%208%20-%20published%20March2021.xlsx","XLSX","17128","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","17128","0f1fa78f70a4cd76bfacc82f2aa918a4f5607dd1d5f9788a7c077fbd1d0d3d96"
"17.05.2021","05.03.2021","7","EN 16931 code list - GeneriCode","false","2021-12-13 17:40:11.205","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20values%20-%20genericodes%20-used%20from%202021-05-17.zip?version=1&modificationDate=1639417211205&api=v2","EN16931%20code%20lists%20values%20-%20genericodes%20-used%20from%202021-05-17.zip","ZIP","69045","application/zip;charset=UTF-8","1970-01-19 23:23:37","69045","8a422698571191ecaad91a124462466676a9898ca23369df9d70a6ee40895aae"
"17.05.2021","05.03.2021","7","EN 16931 code list - XLSX","false","2021-12-13 17:40:11.224","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/2EN16931%20code%20lists%20values%20-%20used%20from%202021-05-17.xlsx?version=1&modificationDate=1639417211224&api=v2","2EN16931%20code%20lists%20values%20-%20used%20from%202021-05-17.xlsx","XLSX","178460","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","178460","df0d0a5593bbced94a496f22e8718d8bcc4d73688aba611ab94e81506e8d0f38"
"17.05.2021","13.04.2021","1.3.5","validation-artefacts-CII","false","2021-12-13 17:40:11.102","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.3.5.zip?version=1&modificationDate=1639417211102&api=v2","en16931-cii-1.3.5.zip","ZIP","140933","application/zip;charset=UTF-8","1970-01-19 23:23:37","140933","c601af1565816ca54de325ec752bb4b2c5a931ff1058635064010b66776b73b4"
"17.05.2021","13.04.2021","1.3.5","validation-artefacts-UBL","false","2021-12-13 17:40:11.119","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.3.5.zip?version=1&modificationDate=1639417211119&api=v2","en16931-ubl-1.3.5.zip","ZIP","2655442","application/zip;charset=UTF-8","1970-01-19 23:23:37","2655442","b5251e70784f2fb207cf04e133237cbbe24ec9deef6bb1fcb9a9a77bb5d25b90"
"15.06.2021","14.06.2021","1.3.6","validation-artefacts-CII","false","2021-12-13 17:40:11.088","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.3.6.zip?version=1&modificationDate=1639417211088&api=v2","en16931-cii-1.3.6.zip","ZIP","146697","application/zip;charset=UTF-8","1970-01-19 23:23:37","146697","fe28931419efe1495a4dfb7e9a353272aa4bf2d6e4435a055d573ae832fbabeb"
"15.06.2021","14.06.2021","1.3.6","validation-artefacts-UBL","false","2021-12-13 17:40:11.066","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.3.6.zip?version=1&modificationDate=1639417211066&api=v2","en16931-ubl-1.3.6.zip","ZIP","179145","application/zip;charset=UTF-8","1970-01-19 23:23:37","179145","10495f849022d8bf1c6b53376ebe3541a8dc8cba40e24964b0733ed8d6fe9c21"
"15.11.2021","10.09.2021","8","EN 16931 code list - XLSX","false","2021-12-13 17:40:11.003","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20values%20v8%20-%20used%20from%202021-09-06.xlsx?version=1&modificationDate=1639417211003&api=v2","EN16931%20code%20lists%20values%20v8%20-%20used%20from%202021-09-06.xlsx","XLSX","176635","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-19 23:23:37","176635","17691e4eda341f3a5940efdb7f9d7de016edd34c7ee73cb8704415b2001297f9"
"15.11.2021","04.10.2021","1.3.7","validation-artefacts-CII","false","2022-04-08 12:14:13.903","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.3.7.zip?version=1&modificationDate=1649420053903&api=v2","en16931-cii-1.3.7.zip","ZIP","140422","application/zip;charset=UTF-8","1970-01-20 02:10:20","140422","2879c0659b6d50d5a23eee92f7483b9a1704d5fcf3196a2510a25fc6a8080186"
"15.11.2021","04.10.2021","1.3.7","validation-artefacts-UBL","false","2022-04-08 12:16:39.180","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.3.7.zip?version=1&modificationDate=1649420199180&api=v2","en16931-ubl-1.3.7.zip","ZIP","172368","application/zip;charset=UTF-8","1970-01-20 02:10:20","172368","d6d2f998c98273553a05367816d3a917fb2d6951cdf1bc2ff2a92364d72ee81d"
"15.05.2022","08.04.2022","1.3.8","validation-artefacts-CII","false","2022-04-08 12:17:35.107","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.3.8.zip?version=1&modificationDate=1649420255107&api=v2","en16931-cii-1.3.8.zip","ZIP","140965","application/zip;charset=UTF-8","1970-01-20 02:10:20","140965","1d40743a13a63ed84e8310f54472b605b5608aa364eb47bc8d3f604e2c5ec977"
"15.05.2022","08.04.2022","1.3.8","validation-artefacts-UBL","false","2022-04-08 12:17:53.634","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.3.8.zip?version=1&modificationDate=1649420273634&api=v2","en16931-ubl-1.3.8.zip","ZIP","172795","application/zip;charset=UTF-8","1970-01-20 02:10:20","172795","a1c23a033deeda4adaf86c586882e0a50813e1bfb389a3fcd7334aeb3546f7de"
"16.05.2022","04.03.2022","9","EAS code list","false","2022-03-04 11:43:21.721","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%209%20-%20published%20March2022.xlsx?version=1&modificationDate=1646394201721&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%209%20-%20published%20March2022.xlsx","XLSX","17423","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-20 01:19:54","17423","73846731e6a264e4da36205a8c182f296a5fd3d6a78b3bde51c7ee4ba3cbc5da"
"16.05.2022","04.03.2022","9","EN 16931 code list - GeneriCode","false","2022-03-04 12:45:19.536","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/cef-genericodes-2022-03-04.zip?version=1&modificationDate=1646397919536&api=v2","cef-genericodes-2022-03-04.zip","ZIP","69660","application/zip;charset=UTF-8","1970-01-20 01:19:57","69660","63e9cc106f0ac8faaecfbc71b60ce834a45fd0b0753e1b146e9c322465846f2a"
"16.05.2022","04.03.2022","9","EN 16931 code list - XLSX","false","2022-03-04 11:45:59.265","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20values%20v9%20-%20used%20from%202022-03-04.xlsx?version=1&modificationDate=1646394359265&api=v2","EN16931%20code%20lists%20values%20v9%20-%20used%20from%202022-03-04.xlsx","XLSX","177891","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-20 01:19:54","177891","93b0469dd7496a6c9da646a857960179c6c15e2c3dbda54b0ceacf46d4ae83af"
"15.11.2022","21.09.2022","10","EAS code list","false","2022-09-21 15:00:30.009","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%2010%20-%20published%20Sept2022.xlsx?version=1&modificationDate=1663772430009&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%2010%20-%20published%20Sept2022.xlsx","XLSX","17504","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-20 06:09:32","17504","b2053259879dfec9e14dd16af45e2e881b736fdce4d14891a999916e882574fb"
"15.11.2022","21.09.2022","10","EN 16931 code list - GeneriCode","false","2022-10-17 17:25:06.676","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/cef-genericodes-2022-09-21.zip?version=1&modificationDate=1666027506676&api=v2","cef-genericodes-2022-09-21.zip","ZIP","69522","application/zip;charset=UTF-8","1970-01-20 06:47:07","69522","1fafc1c700bb657618eb5336141d869db5946e2fb4ea0aa7d5c97b29e6c9ed13"
"15.11.2022","21.09.2022","10","EN 16931 code list - XLSX","false","2022-09-21 15:02:40.850","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20values%20v10%20-%20used%20from%202022-09-21.xlsx?version=1&modificationDate=1663772560850&api=v2","EN16931%20code%20lists%20values%20v10%20-%20used%20from%202022-09-21.xlsx","XLSX","179013","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-20 06:09:32","179013","43495e490e90d4847ff72d03e87c46deccb6fbffbc5605e2e0cd1e4615022ccf"
"15.11.2022","17.10.2022","1.3.9","validation-artefacts-CII","false","2022-10-17 17:18:58.348","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.3.9.zip?version=1&modificationDate=1666027138348&api=v2","en16931-cii-1.3.9.zip","ZIP","141062","application/zip;charset=UTF-8","1970-01-20 06:47:07","141062","ee47da00a981e749e705ccc32db2d6b3d9af6718469ed320e1725ecf3f82608f"
"15.11.2022","17.10.2022","1.3.9","validation-artefacts-UBL","false","2022-10-17 17:19:25.892","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.3.9.zip?version=1&modificationDate=1666027165892&api=v2","en16931-ubl-1.3.9.zip","ZIP","173749","application/zip;charset=UTF-8","1970-01-20 06:47:07","173749","a259c29a09ebba237ec95f31ada2322a949d50155b3e09e22296313f1eb6aa60"
"15.05.2023","24.03.2023","11","EAS code list","false","2023-03-24 15:30:53.318","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%2011%20-%20published%20March2023.xlsx?version=1&modificationDate=1679671853318&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%2011%20-%20published%20March2023.xlsx","XLSX","17962","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-20 10:34:31","17962","947fd39c533d423d7eb2d00346b94d05e46cc2e4ae7e55b452c24b0a3cf18131"
"15.05.2023","24.03.2023","11","EN 16931 code list - GeneriCode","false","2023-03-24 15:47:21.310","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/cef-genericodes-2023-05-15.zip?version=1&modificationDate=1679672841310&api=v2","cef-genericodes-2023-05-15.zip","ZIP","73629","application/zip;charset=UTF-8","1970-01-20 10:34:32","73629","7acb784d939ffff85804adeacf349a5f9d29519886cfb41607a4182a6df3a565"
"15.05.2023","24.03.2023","11","EN 16931 code list - XLSX","false","2023-03-24 15:35:02.082","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20values%20v11%20-%20used%20from%202023-05-15.xlsx?version=1&modificationDate=1679672102082&api=v2","EN16931%20code%20lists%20values%20v11%20-%20used%20from%202023-05-15.xlsx","XLSX","179801","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-20 10:34:32","179801","8045e33e0bc4ee3337022a116c17115999732ad72a1479955cb549322c35ea04"
"15.05.2023","11.04.2023","1.3.10","validation-artefacts-CII","false","2023-04-11 15:38:44.047","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.3.10.zip?version=1&modificationDate=1681227524047&api=v2","en16931-cii-1.3.10.zip","ZIP","142212","application/zip;charset=UTF-8","1970-01-20 11:00:27","142212","ad115d6fa6c465d05eb5936da6141a6810fb3d15f624c5b0381e1d6f397d27c1"
"15.05.2023","11.04.2023","1.3.10","validation-artefacts-UBL","false","2023-04-11 15:39:12.843","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.3.10.zip?version=1&modificationDate=1681227552843&api=v2","en16931-ubl-1.3.10.zip","ZIP","173612","application/zip;charset=UTF-8","1970-01-20 11:00:27","173612","698d8f48b6cb28c5ffd07b23e159ad0e4b58379652873c44a81b7e358f2817d5"
"15.11.2023","06.10.2023","12","EAS code list","false","2023-10-06 16:04:02.789","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/Electronic%20Address%20Scheme%20Code%20list%20-%20version%2012%20-%20published%20Sept2023.xlsx?version=1&modificationDate=1696608242789&api=v2","Electronic%20Address%20Scheme%20Code%20list%20-%20version%2012%20-%20published%20Sept2023.xlsx","XLSX","18060","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-20 15:16:48","18060","8175b58aa45da709ec0349f70c255425b5f328fc95e374eb22f1d1f282f4320d"
"15.11.2023","06.10.2023","12","EN 16931 code list - XLSX","false","2023-10-06 16:05:52.344","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/EN16931%20code%20lists%20values%20v12%20-%20used%20from%202023-11-15.xlsx?version=1&modificationDate=1696608352344&api=v2","EN16931%20code%20lists%20values%20v12%20-%20used%20from%202023-11-15.xlsx","XLSX","179757","application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;charset=UTF-8","1970-01-20 15:16:48","179757","8648cc5c4e34856954cc2482e1e3c2b4667ca71b384ea25a21cbfe165c0ce01b"
"15.11.2023","06.10.2023","1.3.11","validation-artefacts-CII","false","2023-10-06 16:10:34.008","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-cii-1.3.11.zip?version=1&modificationDate=1696608634008&api=v2","en16931-cii-1.3.11.zip","ZIP","142700","application/zip;charset=UTF-8","1970-01-20 15:16:48","142700","01803516fef28a14adf0d6e209fe221fe56e359ca8ff01fc394a54beaa7a04d6"
"15.11.2023","06.10.2023","1.3.11","validation-artefacts-UBL","false","2023-10-06 16:10:12.864","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/en16931-ubl-1.3.11.zip?version=1&modificationDate=1696608612864&api=v2","en16931-ubl-1.3.11.zip","ZIP","173601","application/zip;charset=UTF-8","1970-01-20 15:16:48","173601","057f2c198c4be9e59f96de340134d9999989e4ca8e03530203abf01adf677eed"
"15.05.2024","12.04.2024","13","EN 16931 code list - GeneriCode","false","2024-04-12 11:22:39.271","https://ec.europa.eu/digital-building-blocks/sites/download/attachments/467108974/cef-genericodes-2024-05-15.zip?version=1&modificationDate=1712920959271&api=v2","cef-genericodes-2024-05-15.zip","ZIP","70029","application/zip;charset=UTF-8","1970-01-20 19:48:40","70029","f69298a1a3c07b39e79a6d1aa85b47b977600f87ef8cc2a07aafa7443d81d6f0"
